gene,1054_0003_Control,1054_0004_Control,1054_0005_Control,1054_0006_Control,1054_0014_Control,1054_0020_Control,1054_0021_Control,1054_0022_Control,1054_0025_Control,1054_0027_Control,1054_0028_Control,1068_0002_Control,1068_0003_Control,1068_0004_Control,1068_0005_Control,1068_0012_Control,1068_0013_Control,1068_0018_Control,1068_0019_Control,1068_0020_Control,1068_0023_Control,1068_0024_Control,1068_0025_Control
ENSMUSG00000000001_Gnai3,9.57,1.01,6.38,12.67,7.13,5.73,10,5.6,2.38,3.3299999999999996,4.18,10.27,8.139999999999999,5.970000000000001,9.48,1.29,8.98,10.58,6.4,7.23,6.91,2.3,3.68
ENSMUSG00000000049_Apoh,0,0,0,0.23,0,0,0,0,0,0,0,0,1.76,0,0,0,0,0,0,0.39,0,0,0
ENSMUSG00000000056_Narf,11.350000000000001,9.219999999999999,7.2700000000000005,11.77,5.33,4.58,14.54,10.49,4.49,16.06,9.709999999999999,10.94,10.91,7.35,9.68,13.8,9.33,21.84,7.33,10.39,8.57,8.59,10.54
ENSMUSG00000000058_Cav2,6.37,6.22,6.78,12.89,7.1899999999999995,9.81,7.819999999999999,5.68,3.71,1.54,3.07,8.91,7.430000000000001,14.27,0.07,11.93,16.01,9.6,9.56,1.71,7.6,5.970000000000001,1.07
ENSMUSG00000000078_Klf6,16.459999999999997,14.860000000000001,13.09,11.94,12.08,12,7.54,14.28,15.15,6.7,18.37,14.04,12.77,13.51,20,9.93,18.34,8.19,13.29,13.18,11.629999999999999,24.99,19.89
ENSMUSG00000000085_Scmh1,13.05,16.64,13.18,8.29,25.62,17.779999999999998,16.979999999999997,13.61,20.5,17.8,10.639999999999999,13.47,18.97,12.99,21.67,18.110000000000003,16.810000000000002,5.71,8.31,16.66,12.739999999999998,17.39,22.77
ENSMUSG00000000088_Cox5a,1466.22,1765.98,2053.71,1728.62,1622.1299999999999,1626.42,1644.6299999999999,1973.01,1698.97,1739.3799999999999,1973.11,1623.24,1481.1,1498.98,1396.4,1499.04,1432.95,1352.06,1177.03,1303.6599999999999,1529.83,1426.74,1371.84
ENSMUSG00000000126_Wnt9a,2.3,2.05,3.56,2.57,2.3099999999999996,0,0.09,1.45,3.14,0,3.3,0.22,0.27,0.73,0.54,0,1.58,0.9500000000000001,0.61,0,0.6699999999999999,1.83,1.06
ENSMUSG00000000127_Fer,7.119999999999999,11.6,7.859999999999999,5.88,8.4,19.25,6.85,8.79,6.57,9.17,10.04,10.61,7.18,14.69,13.950000000000001,16.53,12.33,13.93,15,11.76,7.38,9.83,11.92
ENSMUSG00000000131_Xpo6,37.7,30.99,21.939999999999998,33.5,25.91,66.11999999999999,25.110000000000003,15.68,28.150000000000002,36.52,17.17,17.09,30.8,19.630000000000003,32.9,44.65,28.43,46.230000000000004,45.09,51.71,35.15,27.45,37.790000000000006
ENSMUSG00000000134_Tfe3,7.01,4.74,7.07,3.55,4.04,11.19,10.39,7.37,12.93,0.7899999999999999,1.1300000000000001,2.36,3.9899999999999998,6.109999999999999,4.81,4.99,6.05,4.83,4.930000000000001,8.91,5.44,10.99,6.01
ENSMUSG00000000142_Axin2,1.54,1.08,2.4099999999999997,1.46,2.88,0.64,0.41000000000000003,2.2,1.57,2.44,0.6799999999999999,0.99,3.65,4.58,3.07,2.23,3.13,1.05,2.2,2.4699999999999998,1.4,1.59,2.12
ENSMUSG00000000148_Brat1,3.75,4.75,4.319999999999999,1.79,0.63,0,1.8900000000000001,4.22,4.06,3.4699999999999998,5.52,0.7,2.3099999999999996,2.53,4.87,5.7,4,10.01,4.87,4.22,4.87,4.85,5.08
ENSMUSG00000000149_Gna12,5.930000000000001,6.48,5.470000000000001,7.34,5.970000000000001,5.09,4.41,7.23,9.41,4,11.92,6.22,2.3899999999999997,9.75,1.05,14,18.29,2.3899999999999997,7.1,4.14,7.42,4.9,9.18
ENSMUSG00000000167_Pih1d2,2.4,1.36,7.79,4.359999999999999,2.63,7.970000000000001,4.859999999999999,5.63,0,2.23,4.1499999999999995,3.66,3.84,1.24,9.29,6.430000000000001,1.71,3.3899999999999997,3.67,3.03,9.25,5.38,3.16
ENSMUSG00000000168_Dlat,20.7,27.18,22.5,14.42,16.4,21.4,13.55,22.5,10.07,12.27,15.98,17.38,27.1,19.459999999999997,15.46,24.479999999999997,21.34,9.93,22.79,20.1,21.4,24.57,17.1
ENSMUSG00000000171_Sdhd,237.91,243.23,178.78,268.82,185.35000000000002,196.34,220.41,243.76,237.87,204.28,199.93,260.12,243.55,213.60999999999999,200.23,206.66,250.01,200.23,180.99,204.97,239.01,237.42000000000002,211.59
ENSMUSG00000000184_Ccnd2,77.76,82.66999999999999,82.75,45.49,37.339999999999996,65.96000000000001,64.5,57.309999999999995,45.48,32.25,41.82,94.86999999999999,156.22,153.69,83.98,91.88,84.04,108.67999999999999,138.33,123.45,134.8,100.2,162.52
ENSMUSG00000000194_Gpr107,4.01,4.6,2.56,4.07,1.52,11.3,3.19,5.430000000000001,15.709999999999999,3.07,4.7700000000000005,3.3,5.68,8.99,7.63,7.359999999999999,7.89,3.12,7.98,8.01,2.8499999999999996,5.79,7.6899999999999995
ENSMUSG00000000197_Nalcn,8.27,4.95,7.67,7.470000000000001,3.98,11.96,4.4,6.470000000000001,8.41,6.37,3.9299999999999997,5.859999999999999,2.4099999999999997,2.56,5.35,1.9,3.4699999999999998,3.09,3.75,4.4,3.04,2.13,1.79
ENSMUSG00000000202_Btbd17,15.16,2.9,9.06,8.8,5.01,4.4,17.9,12.9,20.9,0.64,9.02,12.209999999999999,8.68,8.06,14.639999999999999,3.8899999999999997,20.12,31.959999999999997,12.67,7.58,8.7,4.89,1.6700000000000002
ENSMUSG00000000223_Drp2,3.94,4.17,2.65,3.63,3.03,2.52,3.55,2.9699999999999998,2.25,1.81,3.04,2.46,3.2600000000000002,7.67,3.36,6.29,4.159999999999999,2.57,1.31,4.28,3.1,6.17,3.74
ENSMUSG00000000247_Lhx2,2.29,4.63,12.99,7.109999999999999,8.9,12,8.98,10.28,16.55,8.66,5.42,11.32,21.02,20.62,6.06,14.739999999999998,17.1,21.8,22.95,27,17.830000000000002,12.09,16.64
ENSMUSG00000000253_Gmpr,89.08,84.89,74.03,82.24000000000001,61.94,69.11,64.13,74.75,95.91000000000001,82.07,110.56,67.09,49.39,38.11,58.13,36.809999999999995,87.04,69.5,54.07,42.64,63.230000000000004,75.6,70.26
ENSMUSG00000000266_Mid2,0.53,0.04,1.05,0.08,0.42000000000000004,3.3,1.12,0.07,0.52,0.55,0.7,0,1.9,1.42,1.28,1.41,0.08,0,0.3,0.56,1.25,0.38,0
ENSMUSG00000000276_Dgke,4.39,10.04,4.25,3.46,2.34,5.68,9.03,9.78,4.76,6.1899999999999995,3.22,3.32,3.55,2.23,4.03,4.46,3.8299999999999996,5.72,3.9099999999999997,6.6499999999999995,5.34,5.73,3.66
ENSMUSG00000000278_Scpep1,10.88,10.66,6.55,8.07,7.88,10.360000000000001,4.13,8.61,6.88,6.56,12.1,8.47,4.619999999999999,5.56,2.9,14.2,15.729999999999999,22.01,14.53,5.87,6.85,5.59,10.27
ENSMUSG00000000282_Mnt,1.82,6.609999999999999,3.61,4.6499999999999995,1.54,1.57,2.02,5.05,0.72,4.6899999999999995,2.51,2.03,2.79,2.72,3.21,1.07,2.88,6.73,3.98,3.4499999999999997,1.77,2.44,2.16
ENSMUSG00000000295_Hddc2,65.27,54.53,51.1,96.4,101.14,35.65,51.720000000000006,52.59,46.78,103.35,63.98,54.15,64.04,55.63,62.730000000000004,49.52,80.97,66.01,69.36,66.04,67.53,84.35,44.46
ENSMUSG00000000296_Tpd52l1,59.39,88.29,72.36,55.809999999999995,70.93,61.949999999999996,33.230000000000004,63.37,64.25,62.25,67.29,106.25,73.25,60.660000000000004,69.94000000000001,47.21,93.79,29.91,53.2,41.53,57.97,64.1,56.25
ENSMUSG00000000301_Pemt,3.9699999999999998,13.78,13.4,13.55,11.709999999999999,3.53,8.62,3.01,27.97,5.930000000000001,8.77,6.68,8.77,8.04,6.6,15.860000000000001,2.09,12.55,5.57,6.41,2.24,6.87,3.9699999999999998
ENSMUSG00000000305_Cdh4,6.63,8.8,10.32,4.930000000000001,13.03,6.42,9.94,6.78,10.34,4.119999999999999,11.860000000000001,3.9499999999999997,7.319999999999999,11.25,8.860000000000001,13.9,10.28,7.41,25.97,12.26,10.08,13.66,6.74
ENSMUSG00000000308_Ckmt1,304.57,326.91999999999996,256.66,299.69,340.26,296.84000000000003,247.8,261.78999999999996,296.9,401.75,373.28,280.40999999999997,277.09,233.22,331.41999999999996,254.73,268.68,247.31,231.6,223.25,254.18,296.36,287.09
ENSMUSG00000000325_Arvcf,5.970000000000001,9.360000000000001,0.48000000000000004,1.96,6.81,7.68,4.930000000000001,2.61,4.08,9.77,11.709999999999999,3.51,6.1,10.17,3.98,6.470000000000001,1.8900000000000001,3.13,5.02,6,2.74,3.17,5.31
ENSMUSG00000000326_Comt,139.89000000000001,162.9,160.26999999999998,124.94000000000001,119.8,92.93,109.6,98.22,120.97,98.25,147.05,146.96,133.59,178.62,98.56,147.08,145.01,136.32000000000002,139.96,147.43,148.32000000000002,164.99,148.26
ENSMUSG00000000339_Rtca,68.54,90.64999999999999,74.57,95.03,64.16999999999999,84.86,66.31,86.6,71.45,46.47,86.05,90.58,61.42,64.86999999999999,79.43,67.43,89.46000000000001,64.91000000000001,79.34,59.160000000000004,61.86,69.38,77.66
ENSMUSG00000000340_Dbt,3.82,5.49,3.92,8.43,2.96,3.15,0.81,1.02,1.1,0.9400000000000001,1.86,1.46,3.7800000000000002,0.05,1.6400000000000001,0.51,2.9899999999999998,4.84,2.3299999999999996,1.6900000000000002,1.79,3.52,2.8899999999999997
ENSMUSG00000000346_Dazap2,81.4,88,90.19,115.3,75.83,91.45,74.63,114.22,78.46000000000001,50.03,100.81,83.88,80.02,108.85,70.52,91.63,128.5,106.22,64.93,74.21000000000001,97,87.99000000000001,83.86999999999999
ENSMUSG00000000355_Mcts1,211.60999999999999,274.97999999999996,225.01,198.70999999999998,249.82000000000002,230.52,202.58,228.09,136.32000000000002,191.26,196.54,189.73999999999998,226.5,169.60999999999999,190.18,161.37,189.03,127.66999999999999,163.5,155.72,207.67,204.38000000000002,169.2
ENSMUSG00000000374_Trappc10,8.27,10.94,8.75,8.360000000000001,7.35,12,13.1,11.12,10.709999999999999,11.04,11.129999999999999,10.62,12.139999999999999,16.779999999999998,11.129999999999999,11,10.54,9.82,17.259999999999998,14.870000000000001,12.34,15.03,15.39
ENSMUSG00000000378_Ccm2,58.14,48.28,50.17,44.57,39.63,21.93,40.620000000000005,89.63,40.37,69.25,57.14,54.949999999999996,35.309999999999995,45.41,33.87,40.27,46.879999999999995,65.36999999999999,63.06,54.620000000000005,50.09,40.17,59.87
ENSMUSG00000000384_Tbrg4,1.26,2.4899999999999998,0.93,0.77,3.2,0.9500000000000001,1.76,0.38,4.83,0.92,3.03,6.359999999999999,3.2600000000000002,7.29,0.55,0.63,3,0.7,2.21,4.48,2.73,3.51,7.44
ENSMUSG00000000399_Ndufa9,213.23,210.37,204.38000000000002,283.61,178.66,204.48000000000002,180.20999999999998,215.31,199.58,238.06,237.57,215.03,163.26,191.62,207.84,174.48000000000002,231.54,183.84,173.22,153.98000000000002,207.88000000000002,173.2,250.17
ENSMUSG00000000409_Lck,8.360000000000001,0,0,1.2,4.42,0.15000000000000002,1.2,0,1.44,0,0,5.3,4.23,4,0,0,2.17,0,4.05,3.4299999999999997,3.06,5.470000000000001,13.91
ENSMUSG00000000416_Cttnbp2,65.36,105.26,84.82,60.8,75.36,69.35,83.98,53.02,75.38,75.75,79.78,93.24000000000001,82.28,93.97,158.12,71.52,71.11999999999999,88.95,97.57,102.06,75.01,106.56,69.66999999999999
ENSMUSG00000000420_Galnt1,7.2,9.17,7.13,5.04,1.75,1.6800000000000002,0.46,3.15,1.2,2.02,1.74,5.42,6.07,7.84,1.4,0.8200000000000001,7.01,2.3899999999999997,6.08,5.54,5.1899999999999995,3.66,3.82
ENSMUSG00000000439_Mkrn2,18.58,15.719999999999999,9.16,7.26,5,5.22,7.76,8.15,5,7.58,5.75,9.11,13.360000000000001,11.4,12.12,4.88,8.98,6.94,7.54,8.76,10.79,17.479999999999997,6.9
ENSMUSG00000000441_Raf1,30.91,14.239999999999998,12.15,18.91,20.05,40.730000000000004,26.419999999999998,26.36,22.74,19.330000000000002,27.810000000000002,27.3,17.79,20.18,21.150000000000002,17.610000000000003,30.64,61.839999999999996,23.79,34.06,36.17,23.56,15.02
ENSMUSG00000000486_Sept1,15.82,3.03,11.29,10.68,13.55,8.8,7.99,9.57,11.629999999999999,18.62,36.790000000000006,24.21,8.709999999999999,6.81,4.21,11.93,8.16,37.379999999999995,9.719999999999999,18.39,11.719999999999999,18.54,8.46
ENSMUSG00000000489_Pdgfb,20.41,13.78,11.56,7.72,7.88,4.659999999999999,7.6899999999999995,18.25,6.71,11.53,9.6,11.09,9.5,10,5.42,17.919999999999998,9.79,9.69,11.639999999999999,8.360000000000001,10.4,14.52,19.45
ENSMUSG00000000530_Acvrl1,1.57,0,2.52,4.41,0,0.43000000000000005,2.27,6.56,0.43000000000000005,1.1700000000000002,0.38,5.3,4.91,3.24,0.8,1.1400000000000001,5.470000000000001,3,2.3699999999999997,0.23,2.4,0.1,2.94
ENSMUSG00000000531_Grasp,40.37,30.95,32.3,28.85,23.3,36.55,28.610000000000003,27.259999999999998,19.45,19.38,22.84,28.21,34.02,35.01,17.150000000000002,27.97,36.11,41.98,27.69,32.690000000000005,36.28,23.05,35.37
ENSMUSG00000000532_Acvr1b,7.59,7.13,5.58,7.2700000000000005,7.59,14.370000000000001,7.6499999999999995,4.85,10.61,7.819999999999999,9.26,7.01,7.84,2.9499999999999997,5.8,6.6499999999999995,5.34,7.319999999999999,6.76,5.37,7.75,7.76,6.44
ENSMUSG00000000538_Tom1l2,24.24,18.23,21.2,17.650000000000002,24.12,23.779999999999998,27.52,18.35,21.85,18.51,19.919999999999998,16.77,19.21,14.15,20.419999999999998,20.459999999999997,15.32,28.24,24.24,21.04,17.2,15.52,31.64
ENSMUSG00000000552_Zfp385a,2.3,1.1900000000000002,2.79,1.07,5.88,3.18,0,3.51,2.51,2.21,0.8400000000000001,2.59,2.46,5.04,1.9,3.44,7.119999999999999,6.23,3.02,2.79,4.33,3.7,3.82
